k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,1594425.1047160402,0.13796409359744247,15227.93187020159,2.421665276701118
3,1477302.3747713645,0.1267326730130653,11929.679480059141,2.4197922053235996
4,1377393.468945072,0.10933708580908666,10794.054169148687,2.358493619622533
5,1310551.1993480832,0.11163026810339252,9702.377974917685,2.180640516054467
6,1253065.7253716402,0.11127363437098403,8977.077779868832,2.115337677161395
7,1217586.180600764,0.1058566676042763,8153.58609531533,2.254785309561077
8,1184082.001466227,0.09906720997718635,7564.967667640366,2.2817939765771156
